key,cites,id_scholar,cid
kelleher2004,45,hqOjcs7Dif8C,9691969717078196921
kelleher2006,35,UebtZRa9Y70C,3182614407189817121
king2010,12,maZDTaKrznsC,18173501551352654405
king2010a,17,Fu2w8maKXqMC,6810183776728485395
king2012,314,lSLTfruPkqcC,8967872882395961111
king2013,31,ZHo1McVdvXMC,3108173242493432227
king2014,386,t6usbXjVLHcC,739060920649656580
king2016,10,nrtMV_XWKgEC,2494160944890717088
konings2010,82,5nxA0vEk-isC,3386511181486230087
kopec2010,174,RGFaLdJalmkC,4826843315568863095
kopec2016,14,DUooU5lO8OsC,11786145976233641574
lall2026,0,JWITY9-sCbMC,
larose2011,16,R3hNpaxXUhUC,8223737089333083183
lee2024a,20,mel-f30kHHgC,16804822013801059279
li2022d,21,O0nohqN1r9EC,2584846006093028995
li2022e,27,QyXJ3EUuO1IC,7156090223061547862
li2025,1,QVtou7C4vgoC,8551202364921033857
lynch2003,59,YsMSGLbcyi4C,17907969703137957586
lynch2004,1343,u5HHmVD_uO8C,8747457526073274778
lynch2004a,221,9yKSN-GCB0IC,15519274737672066354
lynch2004b,17,qxL8FJ1GzNcC,12725741472448363825
lynch2005,62,oNZyr7d5Mn4C,6928035416779128171
lynch2006,233,2osOgNQ5qMEC,8999474130547087015
ma2025a,5,_AeoHAGD03cC,14992810247972507310
mah2018,6,QYdC8u9Cj1oC,5348704119574332647
maika2013,40,B3FOqHPlNUQC,9057530734092650720
majid2016,14,ZfRJV9d4-WMC,4023974720882532215
Manivong:2017if,9,lmc2jWPfTJgC,9699472778257374764
manuel2014,10,AXPGKjj_ei8C,10075378058932592138
McKinnon:2015aa,208,1qzjygNMrQYC,17972168764308295475
McKinnon:2015ab,74,ye4kPcJQO24C,10422230016091964039
mckinnon2011,72,Wp0gIr-vW9MC,805368671395723277
mckinnon2013,52,WbkHhVStYXYC,12217307076373894649
mckinnon2014,56,q3oQSFYPqjQC,3839575618094271883
mckinnon2014b,172,BrmTIyaxlBUC,16524972055083529037
mckinnon2016a,43,JQOojiI6XY0C,16538350560483005211
mclinden2017,12,S16KYo8Pm5AC,3883643089751827261
mclinden2018,17,WJVC3Jt7v1AC,9320405025541880289
mclinden2018a,12,XvxMoLDsR5gC,10162516168524515548
mctavish2010,150,kNdYIx-mwKoC,3505196734059026425
mejia2018,140,OR75R8vi5nAC,4182489179556731134
moore2010,79,4TOpqqG69KYC,2957866276490160856
nandi2013,69,K3LRdlH-MEoC,4306852468659915032
nandi2016,151,7T2F9Uy0os0C,8663721526870177343
nandi2016a,20,35r97b3x0nAC,18193526043500173929
nandi2018,253,cWzG1nlazyYC,17114832886063360368
nandi2020,33,zCSUwVk65WsC,1130084709409225573
nandi2022,14,-95Q15plzcUC,2697902618474986300
nandi2024,1,s9ia6_kGH2AC,8361237614271858418
nunes2020,11,CaZNVDsoPx4C,3985070800442011223
platt2013,27,pqnbT2bcN3wC,12851419932489684799
richardson2015,18,PR6Y55bgFSsC,14119563281895439467
richardson2018,23,HtS1dXgVpQUC,4546084461621996896
richardson2019,43,3htObqc8RwsC,3077754572498644230
richardson2019a,31,gVv57TyPmFsC,1136878416788072084
richardson2020,52,5icHVeHT4IsC,13334909512615071330
richardson2020a,30,ubry08Y2EpUC,11153459524427853490
richardson2025,4,lYAcb2jw7qUC,2524842347330664686
riddell2017,86,e_rmSamDkqQC,7419655237672362074
riddell2018,38,IRz6iEL74y4C,7057958573353601312
riddell2018b,120,_5tno0g5mFcC,16516913345623660446
sadana2011,35,ldfaerwXgEUC,14611457678262137306
smith2014,44,fQNAKQ3IYiAC,10103274786289309261
socha2023,6,uVUOdF_882EC,14736830622271364295
socha2024a,0,unp9ATQDT5gC,
socha2024b,4,T_ojBgVMvoEC,11408289621479532546
socha2026,0,ijdKiLOsEJMC,
socha2026a,0,naSTrk-c4S8C,
speybroeck2010,59,aqlVkmm33-oC,12739666354349803060
speybroeck2012,25,RYcK_YlVTxYC,15658160870682218617
speybroeck2012a,,,
sreeramareddy2018,91,EkHepimYqZsC,7437302811914407291
sreeramareddy2019,7,LgRImbQfgY4C,970644293370260104
sternbach2022a,15,kWvqk_afx_IC,16378658131296010979
strumpf2017,138,4MWp96NkSFoC,3100657751077573868
strumpf2017a,90,i2xiXl-TujoC,6630768983318487775
toporowski2012,14,mVmsd5A6BfQC,982356061346955257
tyner2026,58,iyewoVqAXLQC,8705590943539875525
windle2022,63,KNjnJ3z-R6IC,5890968779785642985
windle2026,0,pYKElYtJMmwC,
windle2026a,3,jmjb1lOE9QIC,9567321093892052141
xue2026,1,R-LXmdHK_14C,14999353341552440578
yang2010,155,MXK_kJrjxJIC,17283620681287549232
young2013,92,a0OBvERweLwC,688410057721000040
yuan2025,1,c59VksA5Vz4C,13721785531535628520
